"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 04/27/2017. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Query Result Counts:,,,,,,,,,,,,,,,,,,,,,,,,
"Your query returned a total of 2,232 Crashes containing 2,264 Units and 2,319 Persons",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Query Filters:,,,,,,,,,,,,,,,,,,,,,,,,
Crash Year Is In 2010 or 2011 or 2012 or 2013 or 2014 or 2015 or 2016 or 2017,,,,,,,,,,,,,,,,,,,,,,,,
City Is Equal To Austin,,,,,,,,,,,,,,,,,,,,,,,,
Unit Description Is Equal To Pedalcyclist,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Crash ID,Average Daily Traffic Amount,Average Daily Traffic Year,Crash Death Count,Crash Incapacitating Injury Count,Crash Non-incapacitating Injury Count,Crash Not Injured Count,Crash Possible Injury Count,Crash Severity,Crash Time,Crash Year,Day of Week,Intersecting Street Name,Intersection Related,Latitude,Light Condition,Longitude,Manner of Collision,Medical Advisory Flag,Object Struck,Road Base Type,Speed Limit,Street Name,Surface Condition,Weather Condition
11243623,15262,2014,0,1,0,0,0,Incapacitating Injury,239,2010,Friday,N/A,Non Intersection,30.286088230,"Dark, Lighted",-97.680577700,One Motor Vehicle - Going Straight,No,Not Applicable,Flex Base (Granular),45,FM0969,Dry,Clear
12112069,No Data,No Data,0,0,2,1,0,Non-Incapacitating Injury,310,2010,Friday,N/A,Non Intersection,30.255244780,"Dark, Lighted",-97.745052460,One Motor Vehicle - Going Straight,No,Not Applicable,No Data,35,E RIVERSIDE DR,Dry,Clear
11376123,22775,2014,0,0,1,1,0,Non-Incapacitating Injury,2300,2010,Monday,E 16TH ST,Intersection Related,30.279592990,"Dark, Not Lighted",-97.702074570,One Motor Vehicle - Going Straight,No,Not Applicable,Flex Base (Granular),45,SL0111,Dry,Clear
11243620,No Data,No Data,0,0,1,1,0,Non-Incapacitating Injury,1408,2010,Wednesday,N/A,Driveway Access,No Data,Daylight,No Data,One Motor Vehicle - Turning Left,No,Not Applicable,No Data,0,SL0343,Wet,Rain
11318193,No Data,No Data,0,0,1,2,0,Non-Incapacitating Injury,1715,2010,Thursday,GUADALUPE ST,Intersection Related,30.281572050,Daylight,-97.741421650,One Motor Vehicle - Going Straight,No,Not Applicable,No Data,35,W MARTIN LUTHER KING JR BLVD,Dry,Clear
11286981,No Data,No Data,0,0,1,0,0,Non-Incapacitating Injury,1826,2010,Tuesday,UNKNOWN,Intersection,30.238114790,"Dark, Lighted",-97.788562450,One Motor Vehicle - Turning Left,No,Not Applicable,No Data,30,VICTORY DR,Dry,Clear
11385048,34215,2014,0,0,0,1,1,Possible Injury,2104,2010,Thursday,N/A,Non Intersection,30.247619300,"Dark, Lighted",-97.772937170,One Motor Vehicle - Going Straight,No,Not Applicable,Flex Base (Granular),40,SL0343,Wet,Rain
11385175,160919,2014,0,0,0,1,1,Possible Injury,1814,2010,Wednesday,US0290,Intersection,30.198449700,Dusk,-97.764099130,One Motor Vehicle - Going Straight,No,Not Applicable,Flex Base (Granular),50,IH0035,Dry,Cloudy
12109691,44866,2014,0,0,1,1,0,Non-Incapacitating Injury,1124,2010,Saturday,RM2222,Intersection,30.330474670,Daylight,-97.809342790,One Motor Vehicle - Turning Right,No,Not Applicable,Flex Base (Granular),55,SL0360,Dry,Clear
12111913,No Data,No Data,0,0,3,1,0,Non-Incapacitating Injury,1605,2010,Saturday,VICTORY DR,Intersection,No Data,Daylight,No Data,Angle - Both Going Straight,No,Not Applicable,No Data,35,SH0290,Dry,Clear
